,text
0,a number of important changes occurred in the economic and political life of india during the period from 600 bce to 600 ce
1,the changes occurred during this period had left a deep mark on the contemporary society
2,a new change began to occur with the expansion of agriculture
3,emergence of different crafts and distinct social groups also witnessed during this period
4,social disparities began to increase as a result of unequal distribution of wealth
5,"according to the text written in ancient the most popular and famous is mahabharata, which was composed between 500 bce and 500 ce"
6,"historians believed that it was written by ved vyasa, but most of the historians think that it is the creation of many authors"
7,"in the beginning, mahabharata was known by the name of jail and held only 8800 verses"
8,an important work began in 1919 under the leadership of v.s
9,"sukthankar, a famous sanskrit scholar who took up cudgels to prepare a critical edition of mahabharata"
10,these relations were based on lineage or vansha are developed by a family
11,"patriliny means that the descent which is traced from father to son, then grandson and great grandson"
12,"patriliny was prevalent even before the mahabharata, yet mahabharata strengthen it"
13,historians often use textual traditions to understand the socio-economic changes of the society
14,"in this case, it is very necessary to keep in mind who composed what and for whom"
15,the language and the ways in which the text is circulated are also important
16,"kinship, marriage rules and different practices: families usually form parts of larger network of people defined as relative or ‘kinfolks’ while familial ties are often regarded as ‘natural’ and based on blood they are defined in many different ways"
17,it is more difficult to reconstruct the familial relationships of ordinary people than elite families
18,"under patriliny, sons could claim the throne or other resources of their fathers when the latter died"
19,kanyadan or the gift of a daughter in marriage was an important religious duty of the father
20,"from 500 bce, codes of social behaviour were compiled in dharmasutras and dharmashastras written in sanskrit"
21,the most important dharmashastra was manusmriti compiled between 200 bce and 200 ce
22,"there were eight forms of marriage, of which the first four were considered as good, while the remaining were condemned"
23,two important rules about gotras were: women were expected to give up their father’s golra and adopt their husband’s gotra
24,"members of the same gotra could not many in case of satavahana rulers, it was evident that many of the wives of satavahana rulers retained the names of their father’s gotra as against brahmanical rule"
25,endogamy or marriage within the kingroup was prevalent among several communities in south india
26,social differences: the dharmashastras and dharmasutras contained rules about the ideal ‘occupations’ of the four categories or varnas
27,"brahmanas were supposed to study and teach the vedas, perform sacrifices and get sacrifices performed; kshatriyas were to engage in warfare, protect people and administer justice; vaishyas were engaged in agriculture, pastoralism and trade; and shudras were assigned to serve the three ‘higher’ varnas"
28,but in reality political power was effectively open to anyone w’ho could muster (assemble) support and resources and rarely depended on birth
29,gotami-puta siri-satakani was a brahmana who destroyed the pride of kshatriyas
30,he ordered that there was no inter-marriage amongst members of the four varnas
31,jatis which shared a common occupation or profession were sometimes organised into shrenis or guilds
32,there were other categories like nishada (people living in forest) beyond the four varnas in society
33,sometimes those who spoke non-sanskrit languages were labelled as mlechchhas and looked down upon
34,brahmanical scriptures developed a sharper social divide by classifying certain social categories as ‘untouchable’
35,"those who performed ‘polluting’ activities like, handling corpses and dead animals were designated as ‘chandalas’"
36,"the manusmriti laid down the duties of chandalas, these were—they had to live outside the village, use discarded utensils and wear clothes of the dead and ornaments of iron"
37,historians got hints of different social realities about the chandalas from the non-brahmanical texts
38,"social status and right to property: according to the manusmriti, the paternal estate was to be divided equally amongst sons after the death of the parents, with a special share for the eldest"
39,"women had no claim in her paternal estate, but were allowed to retain the gifts they received on the occasion of their marriage as stridhana"
40,"according to brahmanical text, apart from gender, criterion for regulating access to wealth was varna"
41,"the only ‘occupation’ prescribed for shudras was servitude (slavery), while a variety of occupations were listed for men of first three varnas"
42,"the buddhists recognised the differences in society, but did not regard these as natural or inflexible"
43,they rejected the idea of claims to status on the basis of birth
44,"there were other possibilities as well; situations where men who were generous were respected, while those who were miserly were criticised"
45,the buddhists developed an alternative understanding of social inequalities and the institutions required to regulate social conflict
46,"the institution of kingship was based on human choice, with taxes as a form of payment for services rendered by the king"
47,"the mahabharata: the great indian epic vs sukthankar, a noted indian sanskritist, with his team initiated the task of preparing a critical edition of the mahabharata"
48,"it involved collecting sanskrit manuscripts of the texts written in a variety of scripts, from different parts of the country"
49,"first historians accepted the texts written in sanskrit as the main source, but later they also relied on works in pali, prakrit and tamil to reconstruct social histories"
50,"the singificance of mahabharata: historians examine whether texts were written in prakrit, pali or sanskrit languages"
51,they try to find out about the authors whose perspectives and ideas shaped the text
52,the sanskrit used in the mahabharata is far simpler than that of the vedas
53,"historians classify the contents of the text under two broad heads, , narrative containing stories and didactic containing prescription and social norms"
54,one of the most challenging episodes in the mahabharata is draupadi’s marriage with five pandavas
55,it suggests polyandry ( the practice of a woman having several husbands) among ruling elites
56,"some historians think that polyandry is undesirable from the brahmanical point of view, but it was prevalent in the himalayan region due to a shortage of women during war times"
57,different versions of mahabharata: the versions of the mahabharata were written in a variety of languages
58,the story of the epic was often retold in different ways
59,writers like mahashweta devi interprets the stories of the mahabharata differently
60,class 12 history notes chapter 3 important terms: kinship: the person belonging the same family
61,"patriliny: system of tracing descent from father to son, grandson and so on"
62,adi parvan: adi parvan is the first section of the sanskrit version of the mahabharata
63,"indra: a god of warfare, rains and valour, one of the principal deities in the rigveda"
64,they were the central asian people who had migrated and settled in the northwestern part of the subcontinent
65,"it forms a part of a dialogue between a king named avantiputta and a disciple of buddha, named kachchana"
66,epic: a long poem about the deeds of great men and women or about a nation’s past history
67,"dwij: during later vedic period, people who adopted sacred thread system was caueddwij"
68,endogamy: it refers to the system of marriage within the unit such as caste
69,"time line: 500  bce ashfadhyayi of panini, a work of sanskrit grammar"
70,"500-100  bce early buddhist texts including the tripitaka (in pali) 500  bce-400 ce ramayana and mahabharata (in sanskrit) 200  ce onwards compilation of the puranas (in sanskrit) 300  ce natyashastra of bharata, a work on dramaturgy (in sanskrit) 400-500  ce sanskrit plays a valuable role in the compilation of kalidasa’s works on astronomy and mathematics by aryabhata and varahamihira (in sanskrit)"
