,text
0,5 rulers and buildings f igure 1 shows the first balcony of the qutb minar
1,notice that the surface of the minar is curved and angular
2,remember that very few buildings were made of stone or brick 800 years ago
3,between the eighth and the eighteenth centuries kings and their officers built two kinds of structures: fig
4,the band of inscriptions you see are under its first balcony
5,"raniji ki baori or the ‘queen’s stepwell’, located in bundi in rajasthan is the largest among the fifty step wells that were built to meet the need for water"
6,"known for its architectural beauty, the baori was constructed in 1699 c.e"
7,"by rani nathavat ji, the queen of raja anirudh singh of bundi"
8,"however, domestic architecture – large mansions (havelis) of merchants – has survived only from the eighteenth century"
9,engineering skills and construction monuments provide an insight into the technologies used for construction
10,"an ornamented gateway led to an entrance, and the main hall (mahamandapa) where dances were performed"
11,the image of the chief deity was kept in the main shrine (garbhagriha)
12,"this was the place for ritual worship where only the king, his immediate family and priests gathered"
13,the khajuraho complex contained royal temples where commoners were not allowed entry
14,4 the rajarajeshvara temple at thanjavur had the tallest shikhara amongst temples of its time
15,constructing it was not easy because there were no cranes in those days and the 90 tonne stone for the top of the shikhara was too heavy to lift manually
16,"so the architects built an inclined path to the top of the temple, placed the boulder on rollers and rolled it all the way to the top"
17,the path started more than 4 km away so that it would not be too steep
18,but the residents of the area remembered the experience of the construction of the temple for a long time
19,"even now a village near the temple is called charupallam, the “village of the incline”"
20,3b what differences do you notice between the shikharas of the two temples
21,the “keystone” at the centre of the arch transferred the weight of the superstructure to the base of the arch
22,two technological and stylistic developments are noticeable from the twelfth century
23,5b true arch; detail from the alai darwaza (early fourteenth century)
24,"6 a painting from the akbar nama (dated ), showing the construction of the water-gate at the agra fort"
25,"building temples, mosques and tanks temples and mosques were beautifully constructed because they were places of worship"
26,"an inscription mentions that it was built by king rajarajadeva for the worship of his god, rajarajeshvaram"
27,7 plan of the jami masjid built by shah jahan in his new capital at of the ruler and the god are very similar
28,the king took the god’s name because it was auspicious and he wanted to appear like a god
29,"the other, lesser deities in the temple were gods and goddesses of the allies and subordinates of the ruler"
30,the temple was a miniature model of the world ruled by the king and his allies
31,"as they worshipped their deities together in the royal temples, it seemed as if they brought the just rule of the gods on earth"
32,"an inscription in the quwwat al-islam mosque explained that god chose alauddin as a king because he had the qualities of moses and solomon, the great lawgivers of the past"
33,8 harmandar sahib (golden temple) with the holy sarovar (tank) in amritsar
34,"as each new dynasty came to power, kings wanted to emphasise their moral right to be rulers"
35,"constructing places of worship provided rulers with the chance to proclaim their close relationship with god, especially important in an age of rapid political change"
36,"rulers also offered patronage to the learned and pious, and tried to transform their capitals and cities into great cultural centres that brought fame to their rule and their realm"
37,"sometimes these tanks and reservoirs were part of a temple, mosque (note the small tank in the jami masjid in fig"
38,"7) or a gurdwara (a place of worship and congregation for sikhs, fig"
39,the statue of the buddha made entirely of gold in the jewel palace ..
40,"an incomplete list included: a sun-pedestal from the chalukyas, a ganesha statue and several statues of durga; a nandi statue from the eastern chalukyas; an image of bhairava (a form of shiva) and bhairavi from the kalingas of orissa; and a kali statue from the palas of bengal"
41,sultan mahmud was not a very important ruler at that time
42,in what ways do you think the policies of rajendra i and mahmud of ghazni were a product of their times
43,10 a 1590 painting of babur supervising workers laying out a chahar bagh in kabul
44,note how the intersecting channels on the path create the characteristic chahar bagh design
45,"12 the throne balcony in the diwan-i am in delhi, completed architecture, first visible in humayun’s tomb"
46,the tomb was placed in the centre of a huge formal chahar bagh and built in the tradition known as “eight paradises” or hasht bihisht – a central hall surrounded by eight rooms
47,it was during shah jahan’s reign that the different elements of mughal architecture were fused together in a grand harmonious synthesis
48,his reign witnessed a huge amount of construction activity especially in agra and delhi
49,the ceremonial halls of public and private audience (diwan-i khas o am) were carefully planned
50,"placed within a large courtyard, these courts were also described as chihil sutun or forty-pillared halls"
51,the idea of the king as a representative of god on earth was suggested by these architectural features
52,behind the emperor’s throne were a series of pietra dura inlays that depicted the legendary greek god orpheus playing the lute
53,the construction of shah jahan’s audience hall aimed to communicate that the king’s justice would treat the high and the low as equals creating a world where all could live together in harmony
54,"in the early years of his reign, shah jahan’s capital was at agra, a city where the nobility had constructed their homes on the banks of the river yamuna"
55,these were set in the midst of formal gardens constructed in the chahar bagh format
56,the chahar bagh garden also had a variation that historians describe as the “river- front garden”
57,"in this the dwelling was not located in the middle of the chahar bagh but at its edge, close to the bank of the river"
58,"shah jahan adapted the river-front garden in the layout of the taj mahal, the grandest architectural accomplishment of his reign"
59,here the white marble mausoleum was placed on a terrace by the edge of the river and the garden was to its south
60,"shah jahan pietra dura coloured, hard stones placed in carved into marble or sandstone creating beautiful, ornate patterns"
61,14 a reconstruction from a map of the river-front garden city of agra
62,note how the garden palaces of the nobles are placed on both banks of the yamuna
63,compare the layout of agra with shahjahanabad in delhi in figure fig
64,"the city appears to be very crowded, but did you notice the many large gardens as well"
65,"in the new city of shahjahanabad that he constructed in delhi, the imperial palace commanded the river-front"
66,only specially favoured nobles – like his eldest son dara shukoh – were given access to the river
67,all others had to construct their homes in the city away from the river yamuna
68,region and empire as construction activity increased between the eighth and eighteenth centuries there was also a considerable sharing of ideas across regions: the traditions of one region were adopted by another
69,16 interior of temple of govind deva in the temple was constructed out of red sandstone
70,notice the two (out of four) intersecting arches that made the high- ceiling roof
71,this style of architecture is from north-east iran (khurasan) and was used in fatehpur strongly influenced by the style of architecture found in the adjoining sultanates of bijapur and golconda (see )
72,"in vrindavan, near mathura, temples were constructed in architectural styles that were very similar to the mughal palaces in fatehpur sikri"
73,the creation of large empires that brought different regions under their rule helped in this cross-fertilisation of artistic forms and architectural styles
74,"in bengal, for example, the local rulers had developed a roof that was designed to resemble a thatched hut"
75,the mughals liked this “bangla dome” (see figures 11 and 12 in ) so much that they used it in their architecture
76,in akbar’s capital at fatehpur sikri many of the buildings show the influence of the architectural styles of gujarat and malwa
77,17 decorated pillars and struts holding the extension of the roof in jodh bai palace in fatehpur sikri
78,look at the illustration and try and identify the bell towers
79,let’s recall how is the “trabeate” principle of architecture different from the “arcuate”
80,"an inscription in shah jahan’s diwan-i khas in delhi stated: “if there is paradise on earth, it is here, it is here, it is here.” how was this image created"
81,"how did the mughal court suggest that everyone – the rich and the poor, the powerful and the weak – received justice equally from the emperor"
82,go through the chapter and make your own list of six keywords
83,"for each of these, write a sentence why you chose the word"
84,let’s do find out whether there is a statue of or a memorial to a great person in your village or town
85,in what ways is it similar to or different from the gardens of the mughals
86,map 2 was made in the 1720s by a french cartographer
87,the two maps are quite different even though they are of the same area
88,"in al-idrisi’s map, south india is where we would expect to find north india and sri lanka is the island at the top"
